
GITV全网通,#genre#
辽宁卫视,http://14.22.20.125/ts-gitv-nx-yh.189smarthome.com/gitv_live/G_LIAONING-MD/G_LIAONING-MD.m3u8
山东卫视,http://14.22.20.125/ts-gitv-nx-yh.189smarthome.com/gitv_live/G_SHANDONG-HD-265-8M/G_SHANDONG-HD-265
山东卫视,http://14.22.20.125/ts-gitv-nx-yh.189smarthome.com/gitv_live/G_SHANDONG-MD/G_SHANDONG-MD.m3u8
东方卫视,http://14.22.20.125/ts-gitv-nx-yh.189smarthome.com/gitv_live/G_DONGFANG-HD-265-8M/G_DONGFANG-HD-
东方卫视,http://14.22.20.125/ts-gitv-nx-yh.189smarthome.com/gitv_live/G_DONGFANG-MD/G_DONGFANG-MD.m3u8
重庆卫视,http://14.22.20.125/ts-gitv-nx-yh.189smarthome.com/gitv_live/G_CHONGQING-CQ/G_CHONGQING-CQ.m3u8
深圳卫视,http://14.22.20.125/ts-gitv-nx-yh.189smarthome.com/gitv_live/G_SHENZHEN-HD-265-8M/G_SHENZHEN-HD-265
深圳卫视_,http://14.22.20.125/ts-gitv-nx-yh.189smarthome.com/gitv_live/G_SHENZHEN-MD/G_SHENZHEN-MD.m3u8
四川卫视,http://14.22.20.125/ts-gitv-nx-yh.189smarthome.com/gitv_live/G_SICHUAN-CQ/G_SICHUAN-CQ.m3u8
天津卫视,http://14.22.20.125/ts-gitv-nx-yh.189smarthome.com/gitv_live/G_TIANJIN-HD-265-8M/G_TIANJIN-HD-265-
天津卫视,http://14.22.20.125/ts-gitv-nx-yh.189smarthome.com/gitv_live/G_TIANJIN-MD/G_TIANJIN-MD.m3u8
云南卫视,http://14.22.20.125/ts-gitv-nx-yh.189smarthome.com/gitv_live/G_YUNNAN-HQ/G_YUNNAN-HQ.m3u8
浙江卫视,http://14.22.20.125/ts-gitv-nx-yh.189smarthome.com/gitv_live/G_ZHEJIANG-CQ/G_ZHEJIANG-CQ.m3u8
浙江卫视,http://14.22.20.125/ts-gitv-nx-yh.189smarthome.com/gitv_live/G_ZHEJIANG-HD-265-8M/G_ZHEJIANG-HD-265-
浙江卫视,http://14.22.20.125/ts-gitv-nx-yh.189smarthome.com/gitv_live/G_ZHEJIANG-MD/G_ZHEJIANG-MD.m3u8
中国教育1,http://14.22.20.125/ts-gitv-nx-yh.189smarthome.com/gitv_live/G_CETV-1-HQ/G_CETV-1-HQ.m3u8
上海纪实人文http://14.22.20.125/ts-gitv-nx-yh.189smarthome.com/gitv_live/G_SHANGHAIJS-HD/G_SHANGHAIJS-HD.m3u8
北京纪实科教,http://14.22.20.125/ts-gitv-nx-yh.189smarthome.com/gitv_live/G_BEIJINGJS-CQ/G_BEIJINGJS-CQ.m3u8






















